motor,etapa,master,ejecutores,orden_ejecucion,es_calentamiento,repeticion_util,repeticion,duracion_segundos,tiempo_jdbc_segundos,tiempo_computo_segundos,cpu_segundos,rss_inicial_mb,rss_final_mb,ordenes_fuente,detalles_fuente,usuarios_fuente,filas_resultado_etapa,dataset_max_order_id,python,spark,pandas,modalidad_lectura
pyspark,t5,spark://e4-spark-master:7077,1.0,6,False,5.0,6,33.359076,13.080862,4.897943,0.12,62.266,62.516,600000,600000,10000,9500,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t5,spark://e4-spark-master:7077,2.0,1,True,,1,32.476229,12.86582,4.580921,0.12,62.09,62.215,600000,600000,10000,9500,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t5,spark://e4-spark-master:7077,2.0,2,False,1.0,2,36.05084,15.477343,4.558838,0.12,62.133,62.258,600000,600000,10000,9500,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t5,spark://e4-spark-master:7077,2.0,3,False,2.0,3,35.180929,15.662772,4.569686,0.12,62.453,62.578,600000,600000,10000,9500,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t5,spark://e4-spark-master:7077,2.0,4,False,3.0,4,35.262188,14.885432,4.683978,0.13,62.32,62.445,600000,600000,10000,9500,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t5,spark://e4-spark-master:7077,2.0,5,False,4.0,5,35.729732,15.563385,4.878802,0.12,61.906,62.156,600000,600000,10000,9500,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t5,spark://e4-spark-master:7077,2.0,6,False,5.0,6,35.722294,15.790626,4.772821,0.13,61.805,61.805,600000,600000,10000,9500,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t5,spark://e4-spark-master:7077,4.0,1,True,,1,39.496882,18.71506,4.854118,0.12,61.594,61.594,600000,600000,10000,9500,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t5,spark://e4-spark-master:7077,4.0,2,False,1.0,2,39.321907,18.211074,4.867602,0.11,62.207,62.332,600000,600000,10000,9500,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t5,spark://e4-spark-master:7077,4.0,3,False,2.0,3,35.486715,15.972903,4.494849,0.11,61.707,61.832,600000,600000,10000,9500,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t5,spark://e4-spark-master:7077,4.0,4,False,3.0,4,39.039621,18.697901,4.7501,0.12,61.945,62.07,600000,600000,10000,9500,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t5,spark://e4-spark-master:7077,4.0,5,False,4.0,5,35.381671,15.610469,4.590014,0.11,61.883,61.883,600000,600000,10000,9500,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pyspark,t5,spark://e4-spark-master:7077,4.0,6,False,5.0,6,39.940125,19.107344,4.908604,0.12,62.496,62.621,600000,600000,10000,9500,600000,3.8.10,3.5.5,,jdbc_sin_particionar
pandas,t1,single-process,,1,True,,1,3.028696,2.471928,0.459116,1.95,104.109,217.832,600000,600000,10000,600000,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
pandas,t1,single-process,,2,False,1.0,2,2.907069,2.251719,0.553796,1.98,104.184,217.77,600000,600000,10000,600000,600000,3.8.10,,2.0.3,baseline_pandas_sql_directo
