fallo,coord,concurrencia,repeticion,warmup_seconds,measure_seconds,fault_probability,delay_seconds,usuarios_objetivo,usuarios_spawneados,requests_total,requests_fail,tasa_error,checkout_total,checkout_fail,checkout_confirmadas,tasa_abortos_checkout,codigos_http_json,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,throughput_rps,locust_cpu_pct_media,locust_cpu_pct_max,locust_mem_mb_media,locust_mem_mb_max,locust_warning_detected,locust_warning_texto,inicio_epoch,duracion_segundos
timing,2pc,400,2,60.0,90.0,0.1,5.0,400,400,1426,1028,0.720898,0,0,0,,"{""0"": 605, ""200"": 398, ""500"": 1, ""503"": 433}",17000,27000,33000,16.0863983260508,0.0,0.0,96.12,105.88,False,,1788531528.794,91.073
none,saga,50,2,60.0,90.0,0.0,5.0,50,50,202,151,0.747525,0,0,0,,"{""0"": 49, ""200"": 51, ""503"": 102}",3300,60000,60000,2.5549974032040708,0.0,0.0,71.56,74.07,False,,1788531767.092,90.905
none,saga,100,2,60.0,90.0,0.0,5.0,100,100,418,310,0.741627,0,0,0,,"{""0"": 49, ""200"": 108, ""503"": 261}",3300,62000,62000,4.746086683352487,0.0,0.0,74.71,77.37,False,,1788532017.818,90.923
none,saga,200,2,60.0,90.0,0.0,5.0,200,200,814,591,0.726044,11,11,0,1.0,"{""0"": 23, ""200"": 224, ""503"": 568}",13000,33000,60000,9.452407459291235,0.0,0.0,80.31,83.44,False,,1788532334.557,90.937
none,saga,400,2,60.0,90.0,0.0,5.0,400,400,1537,1171,0.761874,0,0,0,,"{""0"": 1091, ""200"": 366, ""503"": 84}",17000,18000,21000,17.308637477063282,0.0,0.0,96.28,106.32,False,,1788532785.468,91.122
omission,saga,50,2,60.0,90.0,0.1,5.0,50,50,144,82,0.569444,2,2,0,1.0,"{""0"": 38, ""200"": 62, ""500"": 2, ""503"": 42}",3300,60000,60000,2.113697421599655,0.0,0.0,70.9,72.96,False,,1788533003.413,90.849
omission,saga,100,2,60.0,90.0,0.1,5.0,100,100,704,604,0.857955,0,0,0,,"{""0"": 33, ""200"": 100, ""500"": 1, ""503"": 570}",4400,20000,62000,7.948664611081425,0.0,0.0,74.83,77.45,False,,1788533254.0,90.912
omission,saga,200,2,60.0,90.0,0.1,5.0,200,200,713,494,0.692847,4,4,0,1.0,"{""0"": 60, ""200"": 219, ""503"": 434}",11000,60000,60000,9.055260905332254,0.0,0.0,80.38,84.4,False,,1788533573.878,90.944
omission,saga,400,2,60.0,90.0,0.1,5.0,400,400,1634,1634,1.0,0,0,0,,"{""0"": 1660}",17000,17000,17000,18.399985689153326,0.0,0.0,97.23,108.5,False,,1788534027.724,91.035
timing,saga,50,2,60.0,90.0,0.1,5.0,50,50,117,55,0.470085,0,0,0,,"{""0"": 38, ""200"": 62, ""503"": 17}",4900,60000,60000,1.7631195206307142,0.0,0.0,71.44,73.73,False,,1788534252.476,90.808
timing,saga,100,2,60.0,90.0,0.1,5.0,100,100,632,513,0.811709,12,12,0,1.0,"{""0"": 39, ""200"": 119, ""503"": 478}",4200,60000,62000,7.113105351788257,0.0,0.0,74.96,77.89,False,,1788534503.141,90.869
timing,saga,200,2,60.0,90.0,0.1,5.0,200,200,742,542,0.730458,0,0,0,,"{""0"": 81, ""200"": 200, ""500"": 2, ""503"": 463}",11000,60000,62000,8.352908120982464,2.17,97.7,79.96,83.93,False,,1788534822.23,90.918
timing,saga,400,2,60.0,90.0,0.1,5.0,400,400,1187,798,0.672283,3,3,0,1.0,"{""0"": 302, ""200"": 389, ""503"": 511}",17000,32000,51000,13.34716909184145,2.12,97.7,93.37,101.27,False,,1788535276.017,91.068
none,2pc,50,3,60.0,90.0,0.0,5.0,50,50,108,46,0.425926,1,1,0,1.0,"{""0"": 38, ""200"": 62, ""503"": 8}",3700,60000,60000,1.6460731191194318,0.0,0.0,71.24,73.5,False,,1788535514.764,90.902
none,2pc,100,3,60.0,90.0,0.0,5.0,100,100,490,364,0.742857,20,20,0,1.0,"{""0"": 18, ""200"": 126, ""500"": 1, ""503"": 346}",4900,49000,60000,5.545011419120422,0.0,0.0,74.79,77.16,False,,1788535769.7,90.904
none,2pc,200,3,60.0,90.0,0.0,5.0,200,200,618,418,0.676375,0,0,0,,"{""0"": 94, ""200"": 200, ""503"": 327}",11000,60000,60000,6.969124591759204,0.0,0.0,78.56,84.07,False,,1788536088.725,90.941
none,2pc,400,3,60.0,90.0,0.0,5.0,400,400,696,293,0.420977,0,0,0,,"{""0"": 306, ""200"": 403, ""503"": 27}",15000,17000,60000,7.8397638616283185,0.0,0.0,93.29,100.05,False,,1788536541.564,91.079
omission,2pc,50,3,60.0,90.0,0.1,5.0,50,50,100,47,0.47,0,0,0,,"{""0"": 47, ""200"": 53}",54000,60000,60000,1.4802065920778726,0.0,0.0,71.99,74.2,False,,1788536760.833,90.818
omission,2pc,100,3,60.0,90.0,0.1,5.0,100,100,489,389,0.795501,0,0,0,,"{""0"": 66, ""200"": 100, ""500"": 3, ""503"": 320}",3100,60000,62000,5.515956225501318,2.17,97.7,74.89,77.56,False,,1788537011.512,90.859
